customerID,SeniorCitizen,tenure,MultipleLines,InternetService,TechSupport,Contract,TotalCharges,Churn,StreamersWithTechSupport,Safer,Family,OnlinePayment,All,MonthlyChargesBin
9845-PEEKO,1,59,1,0,0,24,4590.35,0,0,0,0,0,0,1
0936-NQLJU,0,41,0,2,0,24,875.55,0,0,0,0,0,0,0
5322-ZSMZY,0,31,1,2,0,24,755.6,0,0,0,1,0,0,0
4654-GGUII,0,18,0,1,1,12,711.95,0,0,0,0,0,0,0
1481-ZUWZA,0,28,1,0,0,1,2659.4,1,0,0,0,0,0,1
6199-IPCAO,0,29,1,2,0,24,692.55,0,0,0,1,0,0,0
4548-SDBKE,0,5,1,0,0,1,474.8,1,0,0,0,1,0,1
9112-WSNPU,1,35,0,0,0,1,2419.0,0,0,0,0,0,0,1
3376-BMGFE,0,4,0,0,0,1,273.0,1,0,0,0,0,0,1
5816-QVHRX,0,37,1,0,1,1,3541.4,0,1,0,0,0,0,1
8496-DMZUK,0,30,1,0,0,12,2820.65,0,0,1,0,0,0,1
8879-XUAHX,0,71,1,0,1,24,8564.75,0,1,1,0,1,0,0
3642-BYHDO,0,71,0,2,0,24,1389.35,0,0,0,1,0,0,0
7279-BUYWN,1,41,1,0,0,1,4689.5,1,0,1,0,1,0,0
5747-PMBSQ,1,10,0,0,1,1,934.1,1,1,0,0,0,0,1
2750-BJLSB,0,47,0,0,1,12,4730.6,0,1,0,0,1,0,1
4692-NNQRU,0,21,0,0,1,12,1742.45,0,0,0,0,0,0,1
0023-UYUPN,1,50,1,2,0,12,1306.3,0,0,0,0,0,0,0
5181-OABFK,0,56,0,1,0,24,3346.8,0,0,1,1,0,0,0
9412-GHEEC,0,40,1,0,1,1,4131.95,1,1,0,0,0,0,1
2320-SLKMB,0,26,0,1,1,1,1183.8,0,1,0,0,0,0,0
5906-DVAPM,0,55,1,1,1,12,4213.9,0,1,0,1,0,0,1
3320-VEOYC,1,14,1,0,0,1,1273.3,0,0,0,0,1,0,1
0678-RLHVP,0,53,1,0,0,24,5682.25,0,0,0,0,0,0,1
4391-RESHN,0,23,1,0,1,1,2470.1,1,1,0,0,0,0,1
2672-DZUOY,0,1,0,1,0,1,25.15,1,0,0,0,1,0,0
7873-CVMAW,0,72,1,1,1,24,6362.35,0,1,1,0,0,0,1
3312-ZWLGF,1,29,1,0,1,1,2414.55,0,0,0,0,1,0,1
6227-HWPWX,0,15,0,0,0,1,994.8,1,0,0,0,0,0,0
8871-JLMHM,0,68,1,0,1,24,6297.65,0,0,0,0,0,0,1
4573-JKNAE,0,12,0,2,0,24,212.3,0,0,0,0,0,0,0
4195-PNGZS,0,69,1,2,0,24,1718.2,0,0,0,1,0,0,0
6212-ATMLK,0,50,1,0,0,1,4729.75,0,0,0,0,1,0,1
2478-EEWWM,0,59,0,1,0,1,2666.75,0,0,0,0,1,0,0
7779-ORAEL,1,45,1,1,1,24,3480.35,0,1,0,0,0,0,1
4918-QLLIW,0,3,0,1,0,1,188.7,1,0,0,0,0,0,0
6691-CCIHA,0,62,1,1,1,24,5150.55,0,1,0,0,1,0,1
1319-YLZJG,0,12,0,0,0,1,959.9,0,0,1,0,1,0,1
1956-YIFGE,0,22,0,0,0,12,2090.25,0,0,0,1,0,0,1
1895-QTKDO,0,1,0,1,0,1,43.95,0,0,0,0,0,0,0
6689-TCZHQ,1,5,0,0,0,1,378.4,1,0,0,0,0,0,1
3750-YHRYO,0,7,0,2,0,12,150.0,0,0,0,1,0,0,0
1251-KRREG,0,2,1,1,0,1,114.1,1,0,0,0,0,0,0
3969-GYXEL,0,11,0,0,0,1,838.7,0,0,0,0,0,0,1
1436-ZMJAN,0,10,0,1,0,1,653.15,0,0,0,0,0,0,0
8374-UULRV,0,72,1,1,1,24,6309.65,0,1,0,0,0,0,1
7293-LSCDV,0,60,0,2,0,24,1103.25,0,0,0,1,0,0,0
6204-IEUXJ,0,3,0,0,1,1,217.55,1,0,0,0,0,0,1
3649-JPUGY,0,72,1,1,1,24,6201.95,0,1,0,0,0,0,1
3039-MJSLN,0,3,0,2,0,1,50.6,0,0,0,0,0,0,0
5266-PFRQK,0,52,0,2,0,12,1071.6,0,0,0,1,0,0,0
9029-FEGVJ,1,32,1,0,0,1,2570.0,0,0,0,0,0,0,1
9648-BCHKM,0,18,1,2,0,24,471.35,0,0,0,1,0,0,0
2969-VAPYH,0,67,0,1,1,12,3870.0,0,0,0,0,0,0,0
2868-SNELZ,0,2,1,0,0,1,155.8,1,0,0,0,0,0,1
2749-CTKAJ,0,22,0,2,0,12,419.9,0,0,0,1,0,0,0
6131-JLWZM,0,13,0,2,0,1,275.4,0,0,0,0,0,0,0
9695-IDRZR,0,34,1,0,1,24,3946.9,0,1,1,0,0,0,0
2581-VKIRT,0,59,1,1,1,12,3801.3,0,0,0,1,0,0,0
9541-PWTWO,0,52,1,1,1,24,4233.95,0,1,0,0,0,0,1
7382-DFJTU,0,18,0,1,1,1,1058.1,0,0,0,0,0,0,0
2621-UDNLU,0,3,0,2,0,1,72.0,0,0,0,0,0,0,0
5762-TJXGK,0,52,0,1,0,24,3038.55,0,0,1,0,0,0,0
6235-VDHOM,1,5,0,1,0,1,131.05,1,0,0,0,0,0,0
6368-NWMCE,0,38,1,1,1,1,2656.3,0,1,0,0,0,0,0
9614-RMGHA,0,65,1,0,0,1,5940.85,1,0,0,0,0,0,1
3097-NQYSN,1,2,1,0,0,1,156.35,1,0,0,0,0,0,1
3520-FJGCV,0,72,1,0,1,24,8126.65,0,1,1,1,0,1,0
2675-DHUTR,1,58,1,0,0,1,5780.7,0,0,0,0,1,0,1
6925-BAYGL,1,53,1,2,0,24,1275.6,0,0,0,0,0,0,0
7427-AUFPY,0,54,0,2,0,24,1008.7,0,0,0,0,0,0,0
9420-LOJKX,0,15,0,0,0,1,1426.4,1,0,0,0,0,0,1
4307-KWMXE,0,10,0,1,1,1,389.8,0,0,0,0,0,0,0
0386-CWRGM,0,46,0,2,0,24,967.85,0,0,0,1,0,0,0
8017-LXHFA,1,23,0,0,0,1,2293.6,1,0,0,0,1,0,1
0238-WHBIQ,0,72,1,1,1,24,6339.3,0,1,1,1,0,1,1
1960-UOTYM,0,52,0,1,0,24,4016.3,0,0,1,1,0,0,1
5327-XOKKY,1,72,1,1,0,24,5329.0,0,0,0,0,0,0,1
5278-PNYOX,0,49,0,0,1,24,4917.75,0,1,0,0,0,0,1
4849-PYRLQ,1,56,1,1,1,24,4054.2,0,1,0,0,0,0,1
8336-TAVKX,1,72,1,1,1,24,5682.25,0,1,1,0,0,0,1
2656-TABEH,0,4,1,0,0,1,420.2,1,0,0,0,1,0,1
6770-UAYGJ,0,49,1,2,0,24,1211.65,0,0,0,1,0,0,0
9081-WWXKP,0,47,0,2,0,24,873.4,0,0,0,1,0,0,0
7551-JOHTI,0,1,0,2,0,1,19.5,1,0,0,0,0,0,0
6615-ZGEDR,0,1,0,2,0,1,19.7,1,0,0,0,0,0,0
5975-BAICR,0,36,0,1,0,12,2188.5,0,0,0,1,0,0,0
6198-RTPMF,0,17,1,0,0,1,1579.7,0,0,0,0,0,0,1
4897-QSUYC,0,1,0,2,0,1,20.15,1,0,0,0,0,0,0
6773-LQTVT,1,29,0,1,0,1,1025.15,0,0,0,1,0,0,0
8785-EPNCG,0,11,1,2,0,1,245.2,1,0,0,0,0,0,0
9800-ONTFE,0,22,1,0,0,1,1615.1,0,0,0,1,0,0,1
1346-PJWTK,0,61,0,0,1,1,5731.85,0,1,0,0,0,0,1
3871-IKPYH,1,1,0,0,0,1,69.1,1,0,0,0,0,0,0
3243-ZHOHY,0,16,0,2,0,12,296.15,0,0,0,0,0,0,0
0203-HHYIJ,0,25,1,2,0,12,676.35,1,0,0,0,0,0,0
3079-BCHLN,0,47,0,2,0,12,942.95,0,0,0,0,0,0,0
1459-QNFQT,0,70,0,1,1,24,4144.8,0,1,0,1,0,0,0
9191-MYQKX,0,7,0,0,0,1,496.9,1,0,0,0,0,0,1
0003-MKNFE,0,9,1,1,0,1,542.4,0,0,0,0,0,0,0
8634-MPHTR,1,47,1,0,0,1,4871.05,1,0,0,0,1,0,1
5692-FPTAH,0,1,0,1,0,1,45.4,1,0,0,0,0,0,0
0697-ZMSWS,0,4,1,0,0,1,338.9,1,0,0,0,1,0,1
2038-LLMLM,0,48,1,0,1,1,4946.05,0,1,0,0,1,0,1
9142-XMYJH,0,29,0,2,0,1,601.6,0,0,0,0,0,0,0
5707-ORNDZ,1,9,1,1,0,1,494.05,1,0,0,0,0,0,0
9028-LIHRP,0,71,0,0,1,24,7209.0,0,1,1,1,0,1,1
6128-CZOMY,0,1,0,1,0,1,45.65,1,0,0,0,1,0,0
4817-VYYWS,0,30,1,0,0,1,2983.8,1,0,0,0,1,0,1
2203-GHNWN,0,24,1,0,0,1,1928.7,0,0,0,0,0,0,1
7860-UXCRM,0,63,0,1,1,24,4674.55,0,1,1,1,0,1,1
5537-UXXVS,0,20,0,2,0,1,375.25,0,0,0,0,0,0,0
5760-FXFVO,0,6,0,0,0,1,494.95,0,0,0,0,1,0,1
5222-JCXZT,0,4,0,2,0,1,78.9,0,0,0,0,0,0,0
0637-KVDLV,0,2,1,0,0,1,162.45,1,0,0,0,1,0,1
4695-WJZUE,1,2,1,0,0,1,179.25,1,0,0,0,1,0,1
2307-FYNNL,1,65,1,0,1,24,7108.2,0,1,0,0,1,0,1
7549-MYGPK,0,63,1,0,0,1,6215.35,1,0,1,1,1,0,1
8945-MUQUF,0,51,1,0,0,12,4837.6,1,0,0,0,1,0,1
5136-KCKGI,0,33,1,0,0,12,3467.0,1,0,0,1,0,0,1
5651-CPDND,0,10,0,1,0,1,492.1,0,0,0,0,0,0,0
9769-TSBZE,0,70,1,1,1,24,4891.5,0,0,0,0,0,0,0
3261-CQXOL,0,71,1,2,0,24,1813.35,0,0,0,1,0,0,0
4298-OYIFC,0,15,1,0,1,1,1539.8,0,1,0,0,1,0,1
6583-QGCSI,1,50,1,0,0,1,4367.35,1,0,0,0,1,0,1
9968-FFVVH,0,63,1,1,1,12,4111.35,0,0,1,0,0,0,0
2545-EBUPK,1,2,1,0,0,1,186.05,0,0,0,0,1,0,1
8565-WUXZU,1,72,0,0,1,24,6141.65,0,0,0,0,0,0,1
9094-AZPHK,0,15,1,0,0,1,1415.0,0,0,0,0,1,0,1
2049-BAFNW,0,1,0,1,1,1,35.9,0,0,0,0,0,0,0
1986-PHGZF,1,18,1,1,0,1,964.9,0,0,0,0,0,0,0
3946-MHCZW,0,1,0,1,0,1,50.9,1,0,0,0,0,0,0
0848-ZGQIJ,0,16,0,0,0,1,1461.15,0,0,0,0,0,0,1
7377-DMMRI,0,2,0,1,0,1,92.45,1,0,0,0,1,0,0
9500-IWPXQ,0,61,1,1,1,12,4820.55,0,1,1,1,1,1,1
9732-KPKBW,0,1,0,1,1,1,53.95,1,0,0,0,1,0,0
5562-BETPV,0,1,0,2,0,12,19.65,0,0,0,1,0,0,0
4703-MQYKT,0,21,0,2,0,24,390.4,0,0,0,0,0,0,0
7636-XUHWW,0,2,0,2,0,1,33.7,0,0,0,0,0,0,0
6344-SFJVH,0,20,0,1,0,1,505.95,0,0,0,0,0,0,0
6851-WEFYX,1,35,1,0,0,1,3437.5,0,0,0,0,1,0,1
6627-CFOSN,0,59,1,0,0,1,5623.7,0,0,1,0,0,0,1
9227-YBAXE,0,65,1,1,1,24,5215.1,0,1,0,1,0,0,1
0148-DCDOS,0,25,1,0,0,1,2362.1,1,0,0,0,0,0,1
6784-XYJAE,0,36,1,1,0,12,1941.5,0,0,0,0,0,0,0
0661-KQHNK,0,6,0,2,0,12,105.5,0,0,0,1,0,0,0
0754-EEBDC,0,4,0,2,0,24,76.65,0,0,0,1,0,0,0
8133-ANHHJ,1,49,1,0,1,12,5166.2,0,1,1,0,0,0,1
0508-SQWPL,0,57,0,2,0,24,1087.7,0,0,0,1,0,0,0
4360-PNRQB,0,18,1,0,0,1,1395.05,0,0,0,0,0,0,1
7502-BNYGS,0,46,0,1,0,1,3168.0,0,0,0,0,0,0,0
5349-AZPEW,0,5,0,1,0,1,125.5,0,0,0,1,0,0,0
5868-YTYKS,0,1,0,2,0,1,20.25,0,0,0,0,0,0,0
1116-DXXDF,0,39,0,0,0,24,3801.7,0,0,0,0,1,0,1
5276-KQWHG,1,2,0,0,0,1,131.65,1,0,0,0,1,0,0
0788-DXBFY,0,58,0,2,0,12,1108.8,0,0,0,1,1,0,0
8395-ETZKQ,1,68,0,2,0,12,1193.55,0,0,0,1,0,0,0
5985-TBABQ,0,32,1,1,0,12,2282.95,0,0,0,0,0,0,1
2080-SRCDE,0,1,1,2,0,1,25.4,0,0,0,0,0,0,0
8204-TIFGJ,0,23,0,2,0,1,470.6,0,0,0,0,0,0,0
2135-RXIHG,0,1,0,1,0,1,45.65,1,0,0,0,1,0,0
7354-OIJLX,0,9,1,0,0,1,724.65,0,0,0,0,1,0,1
4020-KIUDI,0,6,0,2,0,1,138.85,0,0,0,1,0,0,0
3815-SLMEF,0,3,0,1,1,1,139.35,1,0,0,0,0,0,0
0336-PIKEI,1,72,0,1,1,24,5360.75,0,1,1,0,0,0,1
5465-BUBFA,0,41,0,2,0,24,772.4,0,0,0,1,0,0,0
8402-EIVQS,0,67,0,0,0,12,6733.15,0,0,0,0,0,0,1
8008-OTEZX,0,35,0,2,0,12,708.8,0,0,0,1,0,0,0
8734-FNWVH,0,31,1,1,0,1,1825.5,0,0,0,1,0,0,0
5797-APWZC,0,1,0,0,0,1,90.6,1,0,0,0,0,0,1
5914-GXMDA,0,32,0,2,0,12,593.2,0,0,0,0,0,0,0
4013-UBXWQ,0,7,1,1,1,1,521.1,1,1,0,0,1,0,1
2115-BFTIW,0,25,0,0,0,1,1767.35,1,0,0,0,0,0,1
1575-KRZZE,0,4,0,1,0,1,220.65,0,0,0,0,0,0,0
4056-QHXHZ,0,72,1,0,1,24,7576.7,0,1,0,1,0,0,1
1431-AIDJQ,0,33,0,1,1,24,2603.1,0,1,0,1,0,0,1
1820-TQVEV,0,1,0,0,0,1,69.55,1,0,0,0,1,0,0
8361-LTMKD,1,4,1,0,0,1,306.6,1,0,0,0,0,0,1
0746-JTRFU,0,2,0,1,0,1,56.35,1,0,0,0,1,0,0
4915-BFSXL,0,70,1,1,0,24,4858.7,0,0,0,1,0,0,0
2277-AXSDC,0,32,0,2,0,12,624.15,0,0,0,0,0,0,0
4945-RVMTE,0,28,0,1,0,1,1646.45,0,0,0,0,0,0,0
3714-NTNFO,0,49,1,0,0,1,3906.7,0,0,0,0,1,0,1
6010-DDPPW,0,70,1,2,0,24,1940.85,0,0,0,0,0,0,0
3521-SYVOR,0,37,0,1,0,1,2345.2,1,0,0,0,1,0,0
6837-HAEVO,0,69,1,0,0,24,7297.75,0,0,0,1,1,0,1
1816-FLZDK,0,1,0,1,1,1,29.15,0,0,0,0,0,0,0
2770-NSVDG,0,24,0,1,0,1,688.0,0,0,0,0,0,0,0
7880-XSOJX,0,4,0,1,1,1,146.4,0,0,0,0,0,0,0
6435-SRWBJ,0,5,1,0,1,1,417.75,0,0,0,0,1,0,1
8981-FJGLA,0,11,1,0,0,1,851.8,0,0,0,0,0,0,1
7008-LZVOZ,0,66,1,2,0,24,1672.35,0,0,0,1,0,0,0
5712-PTIWW,0,2,0,0,1,1,152.45,1,0,0,0,1,0,1
6457-USBER,0,1,0,0,0,1,80.8,1,0,0,0,1,0,1
2858-EIMXH,1,53,1,0,0,12,5016.25,0,0,0,0,0,0,1
8812-ZRHFP,0,30,0,0,0,12,2538.05,0,0,0,1,0,0,1
9907-SWKKF,1,1,0,1,0,1,25.05,1,0,0,0,0,0,0
2272-UOINI,0,7,0,1,1,1,571.05,0,1,0,0,1,0,1
3165-HDOEW,0,1,0,1,0,1,45.85,1,0,0,1,0,0,0
0345-XMMUG,0,46,1,0,1,24,4854.3,0,1,0,0,0,0,1
6048-QBXKL,1,2,1,1,0,1,118.25,0,0,0,0,0,0,0
7206-PQBBZ,1,11,0,0,0,1,834.7,0,0,0,0,1,0,1
4712-UYOOI,0,20,0,2,0,1,417.65,0,0,0,1,0,0,0
5118-MUEYH,0,48,1,0,1,1,5083.55,0,1,0,0,0,0,1
9128-CPXKI,0,59,0,0,0,24,5655.45,0,0,0,0,0,0,1
7901-TBKJX,1,56,1,0,0,1,5594.0,0,0,0,0,1,0,1
7173-TETGO,1,72,1,0,0,24,5602.25,0,0,0,0,0,0,1
1104-TNLZA,1,28,1,0,1,1,2998.0,0,1,0,0,1,0,1
7268-WNTCP,0,62,0,2,0,24,1297.35,0,0,0,1,0,0,0
1087-GRUYI,0,38,0,2,0,24,743.5,0,0,0,0,0,0,0
9909-IDLEK,0,20,1,0,1,1,1826.7,0,1,0,1,0,0,1
1226-IENZN,1,16,0,0,0,1,1218.25,0,0,0,0,1,0,1
4480-QQRHC,1,8,0,0,0,1,600.15,0,0,0,0,0,0,1
6022-KOUQO,0,2,0,1,1,1,44.75,0,0,0,1,0,0,0
7874-ECPQJ,0,4,0,2,0,1,85.5,0,0,0,0,0,0,0
9940-RHLFB,0,1,0,0,0,1,75.3,1,0,0,0,0,0,1
4859-ZSRDZ,0,58,0,1,1,24,3166.9,0,1,0,1,0,0,0
0946-CLJTI,1,58,1,0,0,1,5812.6,1,0,0,0,1,0,1
1583-IHQZE,0,12,1,0,1,1,1384.75,1,1,0,0,0,0,0
9554-DFKIC,0,30,1,1,0,1,1588.7,0,0,0,1,0,0,0
4612-THJBS,1,56,1,0,0,12,5510.65,1,0,0,0,0,0,1
6856-RAURS,0,2,1,0,0,1,136.05,0,0,0,0,0,0,1
3094-JOJAI,0,18,1,0,0,1,1387.0,0,0,0,0,0,0,1
9167-APMXZ,0,22,1,0,0,1,1821.95,0,0,0,0,0,0,1
7594-RQHXR,0,1,0,0,0,1,79.6,1,0,0,0,1,0,1
2215-ZAFGX,0,9,1,0,0,1,791.7,0,0,0,0,1,0,1
8532-UEFWH,0,52,1,2,0,24,1345.85,0,0,0,1,0,0,0
9174-IHETN,0,50,0,0,0,24,3533.6,0,0,0,0,0,0,1
2801-NISEI,0,24,0,1,1,1,1348.5,0,0,0,0,0,0,0
4676-WLUHT,0,54,0,1,0,24,2431.95,0,0,0,0,0,0,0
4959-JOSRX,0,2,0,1,0,1,80.55,1,0,0,0,0,0,0
4583-PARNH,1,16,0,0,1,1,1540.05,0,1,0,0,1,0,1
4080-OGPJL,0,8,1,1,1,1,563.65,1,1,0,0,0,0,1
4007-NHVHI,1,56,1,0,0,1,5219.65,0,0,0,0,1,0,1
6728-WYQBC,0,1,0,2,0,1,20.95,0,0,0,0,0,0,0
8270-RKSAP,0,9,0,0,0,1,597.9,0,0,0,0,1,0,1
7850-THJMU,0,26,0,2,0,24,494.9,0,0,0,1,0,0,0
1965-AKTSX,1,14,1,0,0,1,1101.85,1,0,0,0,1,0,1
0130-SXOUN,0,66,1,0,0,1,5976.9,0,0,0,0,0,0,1
4791-QRGMF,0,59,1,0,0,12,5961.1,1,0,0,0,0,0,1
5655-JSMZM,1,49,1,0,0,1,4718.25,1,0,0,0,1,0,1
3943-KDREE,0,26,1,0,0,1,1834.95,1,0,0,0,0,0,1
1010-DIAUQ,0,5,0,0,0,1,492.55,1,0,0,0,0,0,1
4195-SMMNX,0,2,0,2,0,1,33.2,1,0,0,0,0,0,0
8445-DNBAE,0,1,1,1,0,1,50.05,0,0,0,0,1,0,0
0374-FIUCA,0,65,0,2,0,24,1414.45,0,0,0,0,0,0,0
9795-VOWON,0,7,0,1,0,12,150.85,0,0,0,0,0,0,0
5899-OUVKV,0,31,0,0,0,1,2979.2,0,0,0,0,1,0,1
1271-SJBGZ,1,12,0,1,1,1,526.95,1,1,0,0,1,0,0
3911-RSNHI,0,71,0,1,1,24,4310.35,0,1,0,0,0,0,0
2450-ZKEED,0,11,0,1,1,12,651.55,0,0,0,0,0,0,0
3279-DYZQM,0,71,0,2,0,24,1378.45,0,0,0,1,0,0,0
4013-TLDHQ,0,19,0,0,0,1,1490.95,1,0,0,0,1,0,1
8824-RWFXJ,0,3,0,1,0,1,168.15,1,0,0,1,0,0,0
9309-BZGNT,1,69,0,1,0,12,2134.3,0,0,0,0,0,0,0
3669-LVWZB,0,5,0,1,0,1,305.95,1,0,0,0,0,0,0
5889-LFOLL,0,13,1,0,0,1,1115.2,1,0,0,0,1,0,1
4779-ZGICK,0,48,1,2,0,24,1173.35,0,0,0,1,0,0,0
9822-OAOVB,0,1,0,1,0,1,55.45,0,0,0,0,1,0,0
9103-CXVOK,0,1,0,2,0,1,19.75,0,0,0,1,0,0,0
7250-EQKIY,0,1,0,1,0,1,50.45,1,0,0,1,0,0,0
0639-TSIQW,0,67,1,0,0,1,6886.25,1,0,1,0,0,0,1
7469-LKBCI,0,16,0,2,0,24,326.8,0,0,0,0,0,0,0
6651-RLGGM,0,67,1,2,0,24,1688.9,0,0,0,1,0,0,0
8132-YPVBX,0,6,0,0,0,1,514.6,0,0,0,0,0,0,1
0812-WUPTB,1,1,0,0,0,1,70.85,1,0,0,0,0,0,1
9172-ANCRX,0,10,1,0,0,1,973.25,1,0,0,0,1,0,1
0772-GYEQQ,0,3,0,0,1,1,262.05,1,1,0,0,0,0,1
3308-MHOOC,0,1,0,2,0,1,19.2,0,0,0,0,0,0,0
8375-DKEBR,1,1,0,0,0,1,69.6,1,0,0,0,1,0,0
9833-TGFHX,0,42,1,0,0,12,4016.75,0,0,0,1,0,0,1
2890-WFBHU,0,59,1,1,1,12,4786.1,0,1,1,0,0,0,1
6692-YQHXC,0,16,0,0,0,1,1205.5,0,0,0,0,0,0,0
0564-JJHGS,0,9,1,0,0,1,829.1,1,0,0,0,1,0,1
4795-WRNVT,0,40,0,1,0,1,2586.0,0,0,0,0,0,0,0
1465-WCZVT,0,3,0,2,0,1,60.65,0,0,0,1,0,0,0
6674-KVJHG,0,11,1,2,0,12,245.15,0,0,0,0,0,0,0
1099-BTKWT,0,68,0,1,0,12,3723.65,0,0,0,0,1,0,0
7527-QNRUS,0,17,1,2,0,24,412.6,0,0,0,1,0,0,0
6060-DRTNL,1,5,0,0,0,1,415.55,1,0,0,0,0,0,1
8821-XNHVZ,0,1,0,0,0,1,80.05,1,0,0,1,0,0,1
9633-DENPU,0,47,0,1,0,1,2723.4,0,0,0,0,0,0,0
2171-UDMFD,0,32,0,2,0,1,674.55,0,0,0,1,0,0,0
8818-XYFCQ,0,32,1,0,0,1,3204.65,1,0,0,1,0,0,1
9575-IWCAZ,0,6,1,2,0,12,171.0,0,0,0,0,0,0,0
4012-ZTHBR,0,21,0,1,0,1,926.25,0,0,0,1,1,0,0
5312-UXESG,0,41,1,0,0,1,3990.6,0,0,0,0,0,0,1
9938-TKDGL,0,68,0,0,1,24,6668.0,0,1,0,1,1,0,1
2208-MPXIO,0,45,0,2,0,24,886.4,0,0,0,1,0,0,0
6322-PJJDJ,0,49,0,0,0,24,4690.65,0,0,0,0,1,0,1
2977-CEBSX,0,66,1,1,1,24,5965.95,0,1,1,0,0,0,1
7950-XWOVN,0,11,0,1,0,1,383.55,0,0,0,0,0,0,0
1862-QRWPE,0,48,0,2,0,24,1057.0,0,0,0,1,0,0,0
3470-BTGQO,0,21,0,1,0,1,985.05,0,0,0,0,0,0,0
6416-JNVRK,0,46,0,1,0,12,2688.85,0,0,0,0,0,0,0
4760-XOHVN,0,1,0,2,0,1,19.45,1,0,0,1,0,0,0
4550-VBOFE,1,70,1,0,0,1,7101.5,1,0,0,0,1,0,1
7036-ZZKBD,0,31,0,1,1,1,2019.8,0,1,0,0,0,0,0
8561-NMTBD,0,67,1,0,1,12,7388.45,0,1,0,1,0,0,0
5071-FBJFS,0,4,0,1,0,1,217.1,0,0,0,1,0,0,0
3729-OWRVL,1,65,1,0,1,24,7246.15,0,1,0,0,1,0,0
9880-TDQAC,0,72,0,1,1,24,4264.0,0,1,0,1,1,0,0
7101-HRBLJ,0,72,0,1,1,24,6096.9,0,1,1,1,0,1,1
4742-DRORA,0,60,1,0,0,12,5812.0,0,0,0,1,0,0,1
0374-IOEGQ,0,3,0,1,0,1,122.7,0,0,0,0,0,0,0
5149-CUZUJ,0,28,0,0,1,12,2768.35,0,1,0,1,0,0,1
2208-UGTGR,0,56,1,0,0,1,5581.05,0,0,0,0,0,0,1
